"Kod";"Nazwa";"sektor prywatny - ogółem;2008;[-]";"sektor prywatny - ogółem;2009;[-]";"sektor prywatny - ogółem;2010;[-]";"sektor prywatny - ogółem;2011;[-]";"sektor prywatny - ogółem;2012;[-]";"sektor prywatny - ogółem;2013;[-]";"sektor prywatny - ogółem;2014;[-]";"sektor prywatny - ogółem;2015;[-]";"sektor prywatny - ogółem;2016;[-]";"sektor prywatny - ogółem;2017;[-]";"sektor prywatny - ogółem;2018;[-]";
0611000;"Powiat łukowski";754;756;952;692;731;747;827;658;663;776;808;
0612000;"Powiat opolski";343;358;470;337;399;365;319;313;306;327;446;
0613000;"Powiat parczewski";207;249;269;184;218;220;227;214;166;160;239;
0614000;"Powiat puławski";701;727;932;764;748;777;665;655;604;700;841;
0615000;"Powiat radzyński";366;344;385;389;326;330;368;328;285;383;429;
0616000;"Powiat rycki";331;347;421;311;321;289;352;305;289;341;362;
0617000;"Powiat świdnicki";462;528;694;570;539;560;581;494;446;491;570;
0618000;"Powiat tomaszowski";405;467;560;447;461;418;503;406;398;518;593;
0619000;"Powiat włodawski";240;264;329;229;265;256;239;195;158;206;268;
0620000;"Powiat zamojski";452;490;595;489;559;540;581;517;518;597;734;
0661000;"Powiat m.Biała Podlaska";406;520;572;492;530;497;505;448;432;509;568;
0662000;"Powiat m.Chełm";583;578;629;531;562;564;605;437;428;501;515;
0663000;"Powiat m.Lublin";3615;4029;4384;3773;4006;4158;3581;3088;2960;3260;3471;
0664000;"Powiat m.Zamość";548;590;617;585;585;576;511;507;447;473;477;
0801000;"Powiat gorzowski";585;752;751;701;695;691;640;637;616;650;800;
0802000;"Powiat krośnieński";453;515;635;496;525;526;481;500;472;467;515;
0803000;"Powiat międzyrzecki";459;545;645;461;554;495;519;427;440;474;459;
0804000;"Powiat nowosolski";716;769;914;718;770;793;767;781;732;746;799;
0805000;"Powiat słubicki";475;557;511;592;504;431;472;402;398;370;453;
0806000;"Powiat strzelecko-drezdenecki";452;500;663;423;422;434;428;342;367;418;492;
